sport,dport,ack_in,ack_out,byte,duration,flow,inbyte,outbyte,inpacket,outpacket,packet,psh_in,psh_out
65485,443,103,102,24903,1000000,1,6499,18404,103,102,205,7,96
65485,443,87,87,21300,1000000,1,5163,16137,87,87,174,3,84
65485,443,86,87,21568,1000000,1,4978,16590,86,87,173,2,85
65485,443,81,82,19626,1000000,1,5045,14581,81,82,163,5,77
65485,443,103,103,25228,1000000,1,6174,19054,103,103,206,4,99
65485,443,71,70,16496,1000000,1,5033,11463,71,70,141,9,62
65485,443,49,46,10756,1000000,1,4448,6308,49,46,95,14,35
65485,443,45,42,10067,1000000,1,3827,6240,45,42,87,11,34
65485,443,45,45,10357,1000000,1,3585,6772,45,45,90,9,37
65485,443,28,28,6704,1000000,1,1778,4926,28,28,56,2,26
65485,443,32,32,7764,1000000,1,1855,5909,32,32,64,1,31
65485,443,48,46,10653,1000000,1,4370,6283,48,46,94,14,35
65485,443,38,38,8496,1000000,1,3080,5416,38,38,76,8,30
65485,443,41,40,9321,1000000,1,3274,6047,41,40,81,8,33
65485,443,32,32,7560,1000000,1,2121,5439,32,32,64,3,29
65485,443,25,26,6246,1000000,1,1489,4757,25,26,51,1,25
65485,443,43,41,9674,1000000,1,3755,5919,43,41,84,11,32
65485,443,49,46,10827,1000000,1,4321,6506,49,46,95,13,36
65485,443,40,40,9369,1000000,1,2990,6379,40,40,80,6,34
65485,443,38,37,8576,1000000,1,3080,5496,38,37,75,8,30
65485,443,46,42,10142,1000000,1,3893,6249,46,42,88,11,35
65485,443,41,41,9343,1000000,1,3242,6101,41,41,82,8,33
65485,443,39,39,8947,1000000,1,2995,5952,39,39,78,7,32
65485,443,36,36,8563,1000000,1,2579,5984,36,36,72,5,32
65485,443,45,41,9777,1000000,1,4081,5696,45,41,86,13,32
65485,443,41,41,9558,1000000,1,2861,6697,41,41,82,5,36
65485,443,36,36,8749,1000000,1,2198,6551,36,36,72,2,34
65485,443,46,44,10490,1000000,1,3663,6827,46,44,90,9,37
65485,443,28,28,6049,1000000,1,2709,3340,29,29,58,9,19
65485,443,35,35,8310,1000000,1,2295,6015,35,35,70,3,32
65485,443,80,80,19260,1000000,1,4840,14420,80,80,160,4,76
65485,443,117,114,27539,1000000,1,8168,19371,117,114,231,14,103
65485,443,100,97,24611,1000000,1,6770,17841,100,97,197,10,92
65485,443,88,89,21878,1000000,1,5042,16836,88,89,177,2,87
65485,443,101,99,24321,1000000,1,6355,17966,101,99,200,7,94
65485,443,96,96,23670,1000000,1,5335,18335,96,96,192,1,95
65485,443,70,71,16484,1000000,1,5110,11374,70,71,141,10,60
65485,443,44,43,10689,1000000,1,2920,7769,44,43,87,4,40
65485,443,42,42,9708,1000000,1,3054,6654,42,42,84,6,36
65485,443,34,34,8071,1000000,1,2471,5600,34,34,68,5,29
65485,443,37,35,8596,1000000,1,2792,5804,37,35,72,6,31
65485,443,49,48,11072,1000000,1,4182,6890,49,48,97,12,38
65485,443,40,40,8976,1000000,1,3176,5800,40,40,80,8,32
65485,443,44,44,10081,1000000,1,3404,6677,44,44,88,8,36
65485,443,64,63,15079,1000000,1,4381,10698,64,63,127,7,57
65485,443,106,107,26360,1000000,1,6320,20040,106,107,213,4,103
65485,443,75,74,17139,1000000,1,5991,11148,75,74,149,15,60
65485,443,101,101,24624,1000000,1,6034,18590,101,101,202,4,97
65485,443,84,83,20228,1000000,1,5346,14882,84,83,167,6,78
65485,443,68,68,16548,1000000,1,3962,12586,68,68,136,2,66
65485,443,32,32,6901,1000000,1,2998,3903,32,32,64,10,22
65485,443,68,66,15581,1000000,1,5069,10512,68,66,134,11,57
65485,443,79,78,18883,1000000,1,5155,13728,79,78,157,7,73
65485,443,105,103,24841,1000000,1,7322,17519,105,103,208,12,93
65485,443,74,74,18120,1000000,1,4147,13973,74,74,148,1,73
65485,443,85,85,20616,1000000,1,5098,15518,85,85,170,4,81
65485,443,88,88,20804,1000000,1,5768,15036,88,88,176,8,80
65485,443,85,85,20306,1000000,1,6023,14283,85,85,170,11,75
65485,443,111,111,27066,1000000,1,6459,20607,111,111,222,3,108
65485,443,89,90,21679,1000000,1,5465,16214,89,90,179,5,85
65485,443,96,95,23493,1000000,1,5728,17765,96,95,191,4,92
65485,443,89,89,21810,1000000,1,4957,16853,89,89,178,1,88
65485,443,101,101,24852,1000000,1,6284,18568,101,101,202,6,95
65485,443,94,93,22529,1000000,1,6521,16008,94,93,187,11,84
65485,443,97,96,22995,1000000,1,6683,16312,97,96,193,11,86
65485,443,38,38,8712,1000000,1,2826,5886,38,38,76,6,32
